Year,Country,AverageTemperature
1900,Madagascar,22.91558333
1900,Malawi,21.60733333
1900,Malaysia,25.785
1900,Mali,28.256
1900,Malta,18.48758333
1900,Martinique,25.90483333
1900,Mauritania,27.44291667
1900,Mauritius,23.46416667
1900,Mayotte,26.49725
1900,Mexico,20.52158333
1900,Moldova,9.44825
1900,Monaco,9.265666667
1900,Mongolia,-1.169333333
1900,Montenegro,10.71325
1900,Montserrat,26.17391667
1900,Morocco,17.56741667
1900,Mozambique,23.76425
1900,Namibia,20.608
1900,Nepal,15.02575
1900,Netherlands,9.727583333
1900,Netherlands (Europe),9.336333333
1900,New Caledonia,22.13166667
1900,New Zealand,9.970833333
1900,Nicaragua,25.71875
1900,Niger,27.21633333
1900,Nigeria,26.53541667
1900,Niue,24.77241667
1900,North America,2.319166667
1900,North Korea,6.73625
1900,Norway,-0.930083333
1900,Oceania,21.57466667
1900,Oman,26.74675
1900,Pakistan,20.75458333
1900,Palau,27.307
1900,Palestina,22.77525
1900,Palmyra Atoll,27.02908333
1900,Panama,26.24033333
1900,Papua New Guinea,24.53666667
1900,Paraguay,23.743
1900,Peru,20.01325
1900,Philippines,26.25133333
1900,Poland,7.742416667
1900,Portugal,14.71175
1900,Puerto Rico,25.37008333
1900,Qatar,26.73683333
1900,Reunion,23.26516667
1900,Romania,9.380666667
1900,Russia,-5.874333333
1900,Rwanda,19.23558333
1900,Saint Barthélemy,26.40675
1900,Saint Kitts And Nevis,25.65225
1900,Saint Lucia,26.4755
1900,Saint Martin,26.40675
1900,Saint Pierre And Miquelon,4.4255
1900,Saint Vincent And The Grenadines,26.63708333
1900,Samoa,25.97475
1900,San Marino,14.16483333
1900,Sao Tome And Principe,25.62583333
1900,Saudi Arabia,25.48891667
1900,Senegal,27.85583333
1900,Serbia,10.51308333
1900,Seychelles,26.60133333
1900,Sierra Leone,25.95916667
1900,Singapore,26.53158333
1900,Sint Maarten,26.40675
1900,Slovakia,8.050416667
1900,Slovenia,10.14083333
1900,Solomon Islands,26.21058333
1900,Somalia,26.7085
1900,South Africa,17.386
1900,South America,21.97483333
1900,South Georgia And The South Sandwich Isla,1.217
1900,South Korea,11.59266667
1900,Spain,13.62941667
1900,Sri Lanka,27.24225
1900,Sudan,26.88808333
1900,Suriname,26.13841667
1900,Svalbard And Jan Mayen,-7.991416667
1900,Swaziland,18.85533333
1900,Sweden,1.335416667
1900,Switzerland,7.305166667
1900,Syria,18.09308333
1900,Taiwan,21.74258333
1900,Tajikistan,3.54675
1900,Tanzania,22.39941667
1900,Thailand,26.10025
1900,Timor Leste,26.282
1900,Togo,26.76433333
1900,Tonga,22.85875
1900,Trinidad And Tobago,26.0475
1900,Tunisia,19.84066667
1900,Turkey,11.91375
1900,Turkmenistan,13.92483333
1900,Turks And Caicas Islands,26.79491667
1900,Uganda,22.97391667
1900,Ukraine,7.819333333
1900,United Arab Emirates,27.58791667
1900,United Kingdom,8.550416667
1900,United Kingdom (Europe),8.72375
1900,United States,9.021583333
1900,Uruguay,17.7805
1900,Uzbekistan,11.415
1900,Venezuela,25.12325
1900,Vietnam,23.51766667
1900,Virgin Islands,26.11416667
1900,Western Sahara,22.26375
1900,Yemen,25.99058333
1900,Zambia,21.37408333
1900,Zimbabwe,21.27583333
1900,Åland,4.547833333
1901,Afghanistan,13.894
1901,Africa,24.08141667
1901,Albania,12.44958333
1901,Algeria,22.72641667
1901,American Samoa,26.14475
1901,Andorra,10.51633333
1901,Angola,21.75141667
1901,Anguilla,26.66283333
1901,Antigua And Barbuda,26.45833333
1901,Argentina,14.80933333
1901,Armenia,9.253
1901,Aruba,27.78266667
1901,Asia,7.39525
1901,Australia,21.58258333
1901,Austria,5.6565
1901,Azerbaijan,11.64791667
1901,Bahamas,24.37425
1901,Bahrain,26.20933333
1901,Baker Island,25.0105
1901,Bangladesh,25.0585
1901,Barbados,26.46225
1901,Belarus,6.258083333
1901,Belgium,9.049583333
1901,Belize,23.93408333
1901,Benin,26.93258333
1901,Bhutan,11.98375
1901,Bolivia,20.99408333
1901,"Bonaire, Saint Eustatius And Saba",27.09433333
1901,Bosnia And Herzegovina,9.981666667
1901,Botswana,21.52233333
1901,Brazil,24.77758333
1901,British Virgin Islands,26.4095
1901,Bulgaria,10.496
1901,Burkina Faso,27.77908333
1901,Burma,23.92175
1901,Burundi,20.57166667
1901,Cambodia,26.47366667
1901,Cameroon,24.44983333
1901,Canada,-5.05225
1901,Cape Verde,24.21416667
1901,Cayman Islands,26.00858333
1901,Central African Republic,25.80808333
1901,Chad,27.3865
1901,Chile,9.476
1901,China,6.5375
1901,Christmas Island,25.53708333
1901,Colombia,24.55916667
1901,Comoros,25.40041667
1901,Congo,24.67558333
1901,Congo (Democratic Republic Of The),24.17
1901,Costa Rica,24.89
1901,Croatia,10.83475
1901,Cuba,24.75566667
1901,Curaçao,27.25116667
1901,Cyprus,19.44433333
1901,Czech Republic,7.14675
1901,Côte D'Ivoire,25.75583333
1901,Denmark,-18.00175
1901,Denmark (Europe),7.876916667
1901,Djibouti,28.51341667
1901,Dominica,26.11425
1901,Dominican Republic,25.55475
1901,Ecuador,21.49
1901,Egypt,23.18158333
1901,El Salvador,24.13425
1901,Equatorial Guinea,24.902
1901,Eritrea,26.61533333
1901,Estonia,5.230166667
1901,Ethiopia,22.98066667
1901,Europe,7.757083333
1901,Falkland Islands (Islas Malvinas),6.291583333
1901,Faroe Islands,6.771583333
1901,Federated States Of Micronesia,26.697
1901,Fiji,24.43616667
1901,Finland,1.594083333
1901,France,12.32841667
1901,France (Europe),9.817666667
1901,French Guiana,25.85291667
1901,French Polynesia,25.72183333
1901,Gabon,24.28658333
1901,Gambia,27.55016667
1901,Gaza Strip,19.9305
1901,Georgia,8.92875
1901,Germany,7.681083333
1901,Ghana,26.43316667
1901,Greece,14.82941667
1901,Greenland,-18.53441667
1901,Grenada,26.67191667
1901,Guadeloupe,26.33883333
1901,Guatemala,22.32666667
1901,Guernsey,10.50991667
1901,Guinea,25.39233333
1901,Guinea Bissau,26.77725
1901,Guyana,26.0645
1901,Haiti,26.18716667
1901,Honduras,23.80558333
1901,Hong Kong,22.36991667
1901,Hungary,9.386583333
1901,Iceland,1.73325
1901,India,24.08425
1901,Indonesia,25.39241667
1901,Iran,17.89358333
1901,Iraq,22.73966667
1901,Ireland,9.119166667
1901,Isle Of Man,9.248333333
1901,Israel,20.34391667
1901,Italy,12.20558333
1901,Jamaica,25.60241667
1901,Japan,11.68016667
1901,Jersey,10.50991667
1901,Jordan,20.11358333
1901,Kazakhstan,5.188666667
1901,Kenya,24.294
1901,Kingman Reef,26.91566667
1901,Kiribati,26.45808333
1901,Kuwait,25.79116667
1901,Kyrgyzstan,2.800916667
1901,Laos,23.47216667
1901,Latvia,5.729
1901,Lebanon,18.38808333
1901,Lesotho,13.32358333
1901,Liberia,25.28408333
1901,Libya,22.34525
1901,Liechtenstein,4.00925
1901,Lithuania,6.26875
1901,Luxembourg,8.6565
1901,Macau,22.14883333
1901,Macedonia,10.29083333
1901,Madagascar,22.68891667
1901,Malawi,21.13633333
1901,Malaysia,25.48058333
1901,Mali,28.14333333
1901,Malta,18.40025
1901,Martinique,26.11425
1901,Mauritania,27.52391667
1901,Mauritius,23.52016667
1901,Mayotte,26.10591667
1901,Mexico,20.28525
1901,Moldova,9.021083333
1901,Monaco,8.28575
1901,Mongolia,-0.805833333
1901,Montenegro,9.935166667
1901,Montserrat,26.39366667
1901,Morocco,17.47191667
1901,Mozambique,23.19991667
1901,Namibia,20.35783333
1901,Nepal,15.01791667
1901,Netherlands,9.17025
1901,Netherlands (Europe),8.76975
1901,New Caledonia,22.92516667
1901,New Zealand,9.703916667
1901,Nicaragua,25.14316667
1901,Niger,27.23833333
1901,Nigeria,26.54741667
1901,Niue,24.53933333
1901,North America,2.042
1901,North Korea,6.548916667
1901,Norway,0.347166667
1901,Oceania,21.39183333
1901,Oman,26.62266667
1901,Pakistan,20.51408333
1901,Palau,27.30666667
1901,Palestina,23.34533333
1901,Palmyra Atoll,26.949
1901,Panama,25.74158333
1901,Papua New Guinea,24.32416667
1901,Paraguay,23.41316667
1901,Peru,19.71475
1901,Philippines,26.05816667
1901,Poland,7.406916667
1901,Portugal,14.35133333
1901,Puerto Rico,25.57025
1901,Qatar,26.93808333
1901,Reunion,23.34658333
1901,Romania,8.659833333
1901,Russia,-5.460083333
1901,Rwanda,19.87675
1901,Saint Barthélemy,26.66283333
1901,Saint Kitts And Nevis,25.8635
1901,Saint Lucia,26.60933333
1901,Saint Martin,26.66283333
1901,Saint Pierre And Miquelon,5.358
1901,Saint Vincent And The Grenadines,26.71758333
1901,Samoa,25.86158333
1901,San Marino,13.22041667
1901,Sao Tome And Principe,25.69091667
1901,Saudi Arabia,25.75975
1901,Senegal,27.97091667
1901,Serbia,9.71425
1901,Seychelles,26.13775
1901,Sierra Leone,25.98583333
1901,Singapore,26.05683333
1901,Sint Maarten,26.66283333
1901,Slovakia,7.24775
1901,Slovenia,9.04025
1901,Solomon Islands,26.50241667
1901,Somalia,26.48516667
1901,South Africa,16.90916667
1901,South America,21.84966667
1901,South Georgia And The South Sandwich Isla,1.178416667
1901,South Korea,11.296
1901,Spain,13.08741667
1901,Sri Lanka,27.148
1901,Sudan,27.63383333
1901,Suriname,26.38491667
1901,Svalbard And Jan Mayen,-7.700416667
1901,Swaziland,18.32
1901,Sweden,2.772
1901,Switzerland,6.29425
1901,Syria,18.87591667
1901,Taiwan,21.3635
1901,Tajikistan,3.806083333
1901,Tanzania,22.31383333
1901,Thailand,26.05566667
1901,Timor Leste,25.69166667
1901,Togo,26.62016667
1901,Tonga,22.68708333
1901,Trinidad And Tobago,26.07033333
1901,Tunisia,19.70366667
1901,Turkey,12.39241667
1901,Turkmenistan,14.98066667
1901,Turks And Caicas Islands,26.39033333
1901,Uganda,23.83416667
1901,Ukraine,8.187416667
1901,United Arab Emirates,27.63625
1901,United Kingdom,8.379166667
1901,United Kingdom (Europe),8.5185
1901,United States,8.494916667
1901,Uruguay,17.04033333
1901,Uzbekistan,12.29791667
1901,Venezuela,25.00841667
1901,Vietnam,23.43691667
1901,Virgin Islands,26.4095
1901,Western Sahara,22.38525
1901,Yemen,25.85183333
1901,Zambia,21.05616667
1901,Zimbabwe,20.67525
1901,Åland,5.729083333
1902,Afghanistan,14.50583333
1902,Africa,23.90191667
1902,Albania,12.48266667
1902,Algeria,23.05241667
1902,American Samoa,26.1775
1902,Andorra,10.95741667
1902,Angola,21.63575
1902,Anguilla,26.50066667
1902,Antigua And Barbuda,26.36166667
1902,Argentina,14.62116667
1902,Armenia,8.504166667
1902,Aruba,27.89508333
1902,Asia,6.922916667
1902,Australia,21.59791667
1902,Austria,5.577
1902,Azerbaijan,11.00491667
1902,Bahamas,24.76666667
1902,Bahrain,25.99375
1902,Baker Island,24.94116667
1902,Bangladesh,24.74633333
1902,Barbados,26.36666667
1902,Belarus,4.307666667
1902,Belgium,8.818833333
1902,Belize,24.80266667
1902,Benin,26.74233333
1902,Bhutan,11.5685
1902,Bolivia,20.91083333
1902,"Bonaire, Saint Eustatius And Saba",27.1945
1902,Bosnia And Herzegovina,10.09791667
1902,Botswana,21.42683333
1902,Brazil,24.71083333
1902,British Virgin Islands,26.20958333
1902,Bulgaria,10.03566667
1902,Burkina Faso,27.86308333
1902,Burma,23.65208333
1902,Burundi,20.209
1902,Cambodia,26.59583333
1902,Cameroon,23.89725
1902,Canada,-5.170916667
1902,Cape Verde,24.15125
1902,Cayman Islands,26.52208333
1902,Central African Republic,24.98858333
1902,Chad,26.75183333
1902,Chile,9.18175
1902,China,6.744666667
1902,Christmas Island,25.44775
1902,Colombia,24.66275
1902,Comoros,25.78616667
1902,Congo,24.23691667
1902,Congo (Democratic Republic Of The),23.74383333
1902,Costa Rica,25.26475
1902,Croatia,10.87533333
1902,Cuba,25.152
1902,Curaçao,27.366
1902,Cyprus,19.01308333
1902,Czech Republic,6.615166667
1902,Côte D'Ivoire,25.54466667
1902,Denmark,-18.39941667
1902,Denmark (Europe),6.690833333
1902,Djibouti,28.52316667
1902,Dominica,26.07858333
1902,Dominican Republic,25.35175
1902,Ecuador,21.57825
1902,Egypt,22.62491667
1902,El Salvador,24.62783333
1902,Equatorial Guinea,24.44491667
1902,Eritrea,26.37816667
1902,Estonia,2.956083333
1902,Ethiopia,22.72333333
1902,Europe,6.916416667
1902,Falkland Islands (Islas Malvinas),5.207166667
1902,Faroe Islands,6.07825
1902,Federated States Of Micronesia,26.3738
1902,Fiji,24.13108333
1902,Finland,-0.962416667
1902,France,12.39191667
1902,France (Europe),9.9875
1902,French Guiana,25.46516667
1902,French Polynesia,25.75141667
1902,Gabon,23.90866667
1902,Gambia,27.62958333
1902,Gaza Strip,19.52783333
1902,Georgia,7.887583333
1902,Germany,7.256666667
1902,Ghana,26.21475
1902,Greece,14.699
1902,Greenland,-18.91566667
1902,Grenada,26.63633333
1902,Guadeloupe,26.27041667
1902,Guatemala,22.86741667
1902,Guernsey,10.40716667
1902,Guinea,25.29641667
1902,Guinea Bissau,26.78116667
1902,Guyana,25.82133333
1902,Haiti,26.06558333
1902,Honduras,24.43433333
1902,Hong Kong,23.01658333
1902,Hungary,8.82375
1902,Iceland,0.719666667
1902,India,24.31866667
1902,Indonesia,25.20541667
1902,Iran,17.99333333
1902,Iraq,22.21083333
1902,Ireland,9.110166667
1902,Isle Of Man,8.952833333
1902,Israel,19.916
1902,Italy,12.51675
1902,Jamaica,25.85891667
1902,Japan,11.52375
1902,Jersey,10.40716667
1902,Jordan,19.60925
1902,Kazakhstan,5.325583333
1902,Kenya,24.08833333
1902,Kingman Reef,26.711
1902,Kiribati,26.35175
1902,Kuwait,25.47475
1902,Kyrgyzstan,3.229333333
1902,Laos,23.89816667
1902,Latvia,3.5875
1902,Lebanon,17.93225
1902,Lesotho,13.11925
1902,Liberia,25.02641667
1902,Libya,22.12033333
1902,Liechtenstein,4.238583333
1902,Lithuania,4.218166667
1902,Luxembourg,8.543
1902,Macau,22.81725
1902,Macedonia,10.19325
1902,Madagascar,22.80166667
1902,Malawi,21.50466667
1902,Malaysia,25.40858333
1902,Mali,28.43291667
1902,Malta,18.4985
1902,Martinique,26.07858333
1902,Mauritania,27.694
1902,Mauritius,23.31083333
1902,Mayotte,26.40933333
1902,Mexico,20.58158333
1902,Moldova,7.803333333
1902,Monaco,8.72025
1902,Mongolia,-0.562083333
1902,Montenegro,9.96375
1902,Montserrat,26.31741667
1902,Morocco,17.51083333
1902,Mozambique,23.52658333
1902,Namibia,20.10816667
1902,Nepal,15.01
1902,Netherlands,8.6925
1902,Netherlands (Europe),8.279083333
1902,New Caledonia,22.06975
1902,New Zealand,9.182833333
1902,Nicaragua,25.66825
1902,Niger,27.14858333
1902,Nigeria,26.21491667
1902,Niue,24.55375
1902,North America,1.980666667
1902,North Korea,6.816
1902,Norway,-1.196916667
1902,Oceania,21.34533333
1902,Oman,26.98566667
1902,Pakistan,21.17366667
1902,Palau,26.442
1902,Palestina,22.76733333
1902,Palmyra Atoll,26.74375
1902,Panama,26.02258333
1902,Papua New Guinea,23.60891667
1902,Paraguay,23.5935
1902,Peru,19.71441667
1902,Philippines,26.03633333
1902,Poland,6.066583333
1902,Portugal,14.43333333
1902,Puerto Rico,25.27983333
1902,Qatar,26.86925
1902,Reunion,23.14733333
1902,Romania,7.870083333
1902,Russia,-7.00275
1902,Rwanda,19.36375
1902,Saint Barthélemy,26.50066667
1902,Saint Kitts And Nevis,25.78941667
1902,Saint Lucia,26.57875
1902,Saint Martin,26.50066667
1902,Saint Pierre And Miquelon,4.970916667
1902,Saint Vincent And The Grenadines,26.72725
1902,Samoa,25.86775
1902,San Marino,13.46841667
1902,Sao Tome And Principe,25.266
1902,Saudi Arabia,25.53683333
1902,Senegal,28.022
1902,Serbia,9.512916667
1902,Seychelles,26.35141667
1902,Sierra Leone,25.79433333
1902,Singapore,25.98483333
1902,Sint Maarten,26.50066667
1902,Slovakia,6.423166667
1902,Slovenia,9.11375
1902,Solomon Islands,25.8055
1902,Somalia,26.5905
1902,South Africa,16.71383333
1902,South America,21.78041667
1902,South Georgia And The South Sandwich Isla,0.602363636
1902,South Korea,11.80966667
1902,Spain,13.32475
1902,Sri Lanka,27.01233333
1902,Sudan,26.86483333
1902,Suriname,25.96558333
1902,Svalbard And Jan Mayen,-8.772
1902,Swaziland,18.37358333
1902,Sweden,0.813083333
1902,Switzerland,6.640666667
1902,Syria,18.19416667
1902,Taiwan,21.95933333
1902,Tajikistan,4.132166667
1902,Tanzania,22.45675
1902,Thailand,26.118
1902,Timor Leste,25.5445
1902,Togo,26.40983333
1902,Tonga,22.49366667
1902,Trinidad And Tobago,26.1075
1902,Tunisia,19.97533333
1902,Turkey,11.625
1902,Turkmenistan,15.15433333
1902,Turks And Caicas Islands,26.335
1902,Uganda,23.15083333
1902,Ukraine,6.589916667
1902,United Arab Emirates,27.85033333
1902,United Kingdom,8.0015
1902,United Kingdom (Europe),8.1735
1902,United States,8.454
1902,Uruguay,17.38041667
1902,Uzbekistan,12.7565
1902,Venezuela,25.06008333
1902,Vietnam,23.84841667
1902,Virgin Islands,26.20958333
1902,Western Sahara,22.41483333
1902,Yemen,26.04208333
1902,Zambia,21.23225
1902,Zimbabwe,20.90216667
1902,Åland,3.439083333
1903,Afghanistan,12.98641667
1903,Africa,23.68391667
1903,Albania,12.54383333
1903,Algeria,22.55566667
1903,American Samoa,26.33166667
1903,Andorra,10.7685
1903,Angola,21.58475
1903,Anguilla,26.50641667
1903,Antigua And Barbuda,26.32033333
1903,Argentina,14.37608333
1903,Armenia,8.028
1903,Aruba,27.93891667
1903,Asia,7.101083333
1903,Australia,21.17675
1903,Austria,6.240083333
1903,Azerbaijan,10.74866667
1903,Bahamas,24.74441667
1903,Bahrain,25.27441667
1903,Baker Island,25.14475
1903,Bangladesh,24.91125
1903,Barbados,26.32675
1903,Belarus,6.779916667
1903,Belgium,9.560166667
1903,Belize,24.64216667
1903,Benin,26.30925
1903,Bhutan,11.7515
1903,Bolivia,20.4095
1903,"Bonaire, Saint Eustatius And Saba",27.16658333
1903,Bosnia And Herzegovina,10.45966667
1903,Botswana,21.45041667
1903,Brazil,24.57458333
1903,British Virgin Islands,26.27591667
1903,Bulgaria,10.70391667
1903,Burkina Faso,27.37683333
1903,Burma,23.66566667
1903,Burundi,20.18708333
1903,Cambodia,26.57683333
1903,Cameroon,23.81266667
1903,Canada,-5.302583333
1903,Cape Verde,23.86908333
1903,Cayman Islands,26.48733333
1903,Central African Republic,25.01033333
1903,Chad,26.55283333
1903,Chile,8.99675
1903,China,6.174583333
1903,Christmas Island,25.56658333
1903,Colombia,24.65116667
1903,Comoros,25.67383333
1903,Congo,24.174
1903,Congo (Democratic Republic Of The),23.74516667
1903,Costa Rica,25.37841667
1903,Croatia,11.36433333
1903,Cuba,25.17825
1903,Curaçao,27.3675
1903,Cyprus,18.4795
1903,Czech Republic,7.894
1903,Côte D'Ivoire,25.37091667
1903,Denmark,-18.59983333
1903,Denmark (Europe),7.978916667
1903,Djibouti,28.32366667
1903,Dominica,25.9385
1903,Dominican Republic,25.48
1903,Ecuador,21.53458333
1903,Egypt,22.05275
1903,El Salvador,24.47783333
1903,Equatorial Guinea,24.32533333
1903,Eritrea,26.22466667
1903,Estonia,5.833916667
1903,Ethiopia,22.6205
1903,Europe,8.004916667
1903,Falkland Islands (Islas Malvinas),5.689666667
1903,Faroe Islands,6.247583333
1903,Federated States Of Micronesia,26.339
1903,Fiji,24.78983333
1903,Finland,1.879666667
1903,France,12.59233333
1903,France (Europe),10.20016667
1903,French Guiana,25.54658333
1903,French Polynesia,26.26933333
1903,Gabon,23.8085
1903,Gambia,27.303
1903,Gaza Strip,18.726
1903,Georgia,7.877916667
1903,Germany,8.402416667
1903,Ghana,25.86675
1903,Greece,14.59916667
1903,Greenland,-19.14691667
1903,Grenada,26.71591667
1903,Guadeloupe,26.19775
1903,Guam,26.402
1903,Guatemala,22.64
1903,Guernsey,10.82675
1903,Guinea,25.1265
1903,Guinea Bissau,26.5295
1903,Guyana,25.79933333
1903,Haiti,26.25308333
1903,Honduras,24.36358333
1903,Hong Kong,22.21233333
1903,Hungary,9.950666667
1903,Iceland,0.674083333
1903,India,23.76741667
1903,Indonesia,25.423
1903,Iran,16.85925
1903,Iraq,21.2825
1903,Ireland,9.150416667
1903,Isle Of Man,9.201583333
1903,Israel,19.11933333
1903,Italy,12.47375
1903,Jamaica,26.08908333
1903,Japan,11.84333333
1903,Jersey,10.82675
1903,Jordan,18.89508333
1903,Kazakhstan,4.30125
1903,Kenya,24.03425
1903,Kingman Reef,26.50166667
1903,Kiribati,26.1725
1903,Kuwait,24.33166667
1903,Kyrgyzstan,1.450083333
1903,Laos,23.29233333
1903,Latvia,6.304166667
1903,Lebanon,17.24533333
1903,Lesotho,13.306
1903,Liberia,24.99283333
1903,Libya,21.76325
1903,Liechtenstein,4.573666667
1903,Lithuania,6.783083333
1903,Luxembourg,9.243333333
1903,Macau,21.96391667
1903,Macedonia,10.44058333
1903,Madagascar,22.57391667
1903,Malawi,21.43516667
1903,Malaysia,25.54441667
1903,Mali,27.86941667
1903,Malta,17.85975
1903,Martinique,25.9385
1903,Mauritania,27.2315
1903,Mauritius,23.05366667
1903,Mayotte,26.29375
1903,Mexico,19.97366667
1903,Moldova,9.45275
1903,Monaco,8.729333333
1903,Mongolia,-1.448333333
1903,Montenegro,10.2645
1903,Montserrat,26.26158333
1903,Morocco,17.23033333
1903,Mozambique,23.53691667
1903,Namibia,19.91191667
1903,Nepal,14.839
1903,Netherlands,9.680166667
1903,Netherlands (Europe),9.289
1903,New Caledonia,22.62866667
1903,New Zealand,9.747916667
1903,Nicaragua,25.7025
1903,Niger,26.69966667
1903,Nigeria,26.05725
1903,Niue,24.826
1903,North America,1.669833333
1903,North Korea,6.94775
1903,Northern Mariana Islands,26.402
1903,Norway,0.0045
1903,Oceania,21.01808333
1903,Oman,26.28275
1903,Pakistan,19.92708333
1903,Palau,26.90291667
1903,Palestina,22.80775
1903,Palmyra Atoll,26.536
1903,Panama,26.1865
1903,Papua New Guinea,24.20233333
1903,Paraguay,22.93266667
1903,Peru,19.48558333
1903,Philippines,26.22358333
1903,Poland,7.928666667
1903,Portugal,14.53566667
1903,Puerto Rico,25.37383333
1903,Qatar,26.13983333
1903,Reunion,22.86875
1903,Romania,9.1155
1903,Russia,-5.352583333
1903,Rwanda,19.39625
1903,Saint Barthélemy,26.50641667
1903,Saint Kitts And Nevis,25.76458333
1903,Saint Lucia,26.54408333
1903,Saint Martin,26.50641667
1903,Saint Pierre And Miquelon,3.65825
1903,Saint Vincent And The Grenadines,26.72725
1903,Samoa,26.03933333
1903,San Marino,13.71791667
1903,Sao Tome And Principe,25.12825
1903,Saudi Arabia,24.93441667
1903,Senegal,27.72858333
1903,Serbia,10.18025
1903,Seychelles,26.14733333
1903,Sierra Leone,25.7425
1903,Singapore,26.14633333
1903,Sint Maarten,26.50641667
1903,Slovakia,7.83075
1903,Slovenia,9.65225
1903,Solomon Islands,26.22691667
1903,Somalia,26.46116667
1903,South Africa,16.6385
1903,South America,21.60141667
1903,South Georgia And The South Sandwich Isla,0.787583333
1903,South Korea,11.74125
1903,Spain,13.28208333
1903,Sri Lanka,27.00266667
1903,Sudan,26.68441667
1903,Suriname,25.96683333
1903,Svalbard And Jan Mayen,-8.2165
1903,Swaziland,18.53958333
1903,Sweden,2.6065
1903,Switzerland,6.830666667
1903,Syria,17.59016667
1903,Taiwan,21.39616667
1903,Tajikistan,2.669833333
1903,Tanzania,22.34725
1903,Thailand,25.88191667
1903,Timor Leste,25.6665
1903,Togo,25.95508333
1903,Tonga,22.946
1903,Trinidad And Tobago,26.11058333
1903,Tunisia,19.29833333
1903,Turkey,11.36083333
1903,Turkmenistan,13.98575
1903,Turks And Caicas Islands,26.512
1903,Uganda,23.075
1903,Ukraine,8.446333333
1903,United Arab Emirates,27.05725
1903,United Kingdom,8.329333333
1903,United Kingdom (Europe),8.499583333
